FID,FID_Divisi,Division,MaintCntyC,LocCntyCod,RouteClass,RouteNumbe,RouteQuali,RouteInven,Direction,TravelDire,RouteMaint,RouteName,StreetName,SrcDocType,SrcDocID,GeoDocType,GeoDocID,RouteID,MPLength,LaneMiles,BeginMp1,EndMp1,BeginFeatu,EndFeature,RouteID2,BeginMp2,EndMp2,RouteID3,BeginMp3,EndMp3,RouteID4,BeginMp4,EndMp4,RouteID5,BeginMp5,EndMp5,RouteID6,BeginMp6,EndMp6,AADT,AadtDate,AADTTruck,AadttMulti,AadttSingl,AccessCont,AddDate,AddDocID,AddDocType,BarePvmtRo,BaseDetail,BaseThickn,DesignSpd,FcltyType,FuncClass,FuncClassD,HOVLnCount,HOVType,ImprvDate,ImprvDocID,ImprvDocTy,ImprvType,LaneWidth,LftPvdShld,LftShldrTy,LftShldrWi,LftTrnLnTy,LftTrnLnWi,MaintOps,MedianType,MedianWidt,NHS,NHSDate,OwnerName,OwnerType,PeakLanes,PostedRout,ROW,RtPvdShldr,RtShldrTyp,RtShldrWid,RtTrnLnTyp,RtTrnLnWid,SampleID,SpeedLimit,MilitaryBa,STRAHNETDa,STRAHNETTy,SrfcDetail,SrfcThickn,SrfcType,SrfcWidth,TerrainTyp,ThruLaneCo,TollCharge,TollID,TollType,MunPopGrou,TownCode,TownName,TrkRoute,TrkRouteDa,UrbanType,UrbanID,UrbanPop,Shape_Leng,FID_NC_N_s,Id,gridcode,Shape_Le_1,Shape_Area
20,379,1,070,070,4,1104,0,0,BD,Both,System,SR-1104,Soundneck Rd,N, ,A,2012,40001104070,1.406000000000000,2.812000000000000,0.000000000000000,1.406000000000000,40001103070,40001109070, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000,550,2020,0,0,0, ,12/31/1930 0:00:00, , , , ,0.000000000000000,0, ,7,,0, ,12/31/1985 0:00:00, , ,RS,0,0,Grass,5, ,0,0, ,0,0,, ,0,0, ,0,0,Grass,5, ,0,0,55,0,,0, ,0.000000000000000,Bitum,20,1,2, ,0, ,0, , ,0,, ,0,0,7421.083246250000229,46385,46385,9,131.805004634999989,0.262559669123000
21,383,1,070,070,4,1103,0,0,BD,Both,System,SR-1103,Esclip Rd,N, ,A,2012,40001103070,1.222000000000000,2.444000000000000,0.000000000000000,1.222000000000000,30000344070,40001112070, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000,700,2020,0,0,0, ,12/31/1930 0:00:00, , , , ,0.000000000000000,50, ,6,,0, ,12/31/1982 0:00:00, , ,RS,0,0,Grass,4, ,0,0, ,0,0,, ,0,0, ,60,0,Grass,4, ,0,0,55,0,,0, ,0.000000000000000,Bitum,20,1,2, ,0, ,0, , ,0,, ,0,0,6451.875142480000250,46385,46385,9,131.805004634999989,0.262559669123000
22,390,1,027,027,4,1105,0,0,BD,Both,System,SR-1105,New Beach Rd,N, ,N, ,40001105027,0.045287000000000,0.090574000000000,0.000000000000000,0.045287000000000,20000158027,50099739027, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, , , , , , ,12/31/1953 0:00:00, , , , ,0.000000000000000,0, ,7,,0, ,12/31/1987 0:00:00, , ,IP,0,0,Grass,0, ,0,0, ,0,0,, ,0,0, ,60,0,Grass,0, ,0,0,55,0,,0, ,0.000000000000000,Bitum,20,1,2, ,0, ,0, , ,0,,Urban Cluster,44965,3,240.381563344000000,46385,46385,9,131.805004634999989,0.262559669123000
23,398,1,070,070,4,1100,0,0,BD,Both,System,SR-1100,Nixonton Rd,N, ,A,2012,40001100070,0.011914000000000,0.023828000000000,0.000000000000000,0.011914000000000,40001137070,Pseudo, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000,1100,2020,0,0,0, ,12/31/1930 0:00:00, , , , ,0.000000000000000,0, ,6,,0, ,2/19/2016 0:00:00,DA00203-1CR.20701.105,TIP,RS,10,0,Grass,6, ,0,0, ,0,0,, ,0,0, ,60,0,Grass,6, ,0,0,35,0,,0,S9.5B,1.250000000000000,AC_AC,20,1,2, ,0, ,0, , ,0,, ,0,0,62.757963841900001,46385,46385,9,131.805004634999989,0.262559669123000
24,413,1,021,021,4,1101,0,0,BD,Both,System,SR-1101,Burnt Mill Rd,N, ,N, ,40001101021,0.960000000000000,1.920000000000000,0.000000000000000,0.960000000000000,BC000072,Pseudo, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000,300,2020,0,0,0, ,12/31/1930 0:00:00, , , , ,0.000000000000000,0, ,7,,0, ,12/31/1991 0:00:00, , ,RS,0,0,Grass,4, ,0,0, ,0,0,, ,0,0, ,0,0,Grass,4, ,0,0,55,0,,0, ,0.000000000000000,Bitum,18,1,2, ,0, ,0, , ,0,, ,0,0,5080.352407600000333,46385,46385,9,131.805004634999989,0.262559669123000
25,418,1,015,015,4,1103,0,0,BD,Both,System,SR-1103,Beech Neck Rd,N, ,N, ,40001103015,0.347479000000000,0.694958000000000,0.000000000000000,0.347479000000000,40001100015,50099920015, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, , , , , , ,12/31/1930 0:00:00, , , , ,0.000000000000000,0, ,7,,0, ,, , , ,0,0, ,0, ,0,0, ,0,0,, ,0,0, ,0,0, ,0, ,0,0,55,0,,0, ,0.000000000000000,Unpaved,14,1,2, ,0, ,0, , ,0,, ,0,0,1846.634321179999915,46385,46385,9,131.805004634999989,0.262559669123000
26,419,1,015,015,4,1101,0,0,BD,Both,System,SR-1101,One Mill Rd,N, ,N, ,40001101015,0.577500000000000,1.155000000000000,0.000000000000000,0.577500000000000,40001100015,Pseudo, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000,200,2020,0,0,0, ,12/31/1930 0:00:00, , , , ,0.000000000000000,0, ,7,,0, ,12/31/1984 0:00:00, , ,RS,0,0,Grass,6, ,0,0, ,0,0,, ,0,0, ,0,0,Grass,6, ,0,0,55,0,,0, ,0.000000000000000,Bitum,16,1,2, ,0, ,0, , ,0,, ,0,0,3046.444264709999970,46385,46385,9,131.805004634999989,0.262559669123000
27,420,1,037,037,4,1103,0,0,BD,Both,System,SR-1103,Indian Neck Rd,N, ,N, ,40001103037,0.501163000000000,1.002326000000000,0.000000000000000,0.501163000000000,40001100037,Pseudo, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, , , , , , ,12/31/1957 0:00:00, , , , ,0.000000000000000,0, ,7,,0, ,, , , ,0,0, ,0, ,0,0, ,0,0,, ,0,0, ,0,0, ,0, ,0,0,55,0,,0, ,0.000000000000000,Unpaved,16,1,2, ,0, ,0, , ,0,, ,0,0,2643.193478019999930,46385,46385,9,131.805004634999989,0.262559669123000
28,422,1,015,015,4,1105,0,0,BD,Both,System,SR-1105,Wesley Rd,N, ,N, ,40001105015,0.680000000000000,1.360000000000000,0.000000000000000,0.680000000000000,30000343015,DEAD-END, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, , , , , , ,12/31/1939 0:00:00, , , , ,0.000000000000000,0, ,7,,0, ,, , , ,0,0, ,0, ,0,0, ,0,0,, ,0,0, ,0,0, ,0, ,0,0,55,0,,0, ,0.000000000000000,Unpaved,16,1,2, ,0, ,0, , ,0,, ,0,0,3582.839147189999949,46385,46385,9,131.805004634999989,0.262559669123000
29,433,1,015,015,4,1104,0,0,BD,Both,System,SR-1104,Wharf Rd,N, ,N, ,40001104015,0.962500000000000,1.925000000000000,0.000000000000000,0.962500000000000,30000343015,Pseudo, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000,100,2020,0,0,0, ,12/31/1930 0:00:00, , , , ,0.000000000000000,0, ,7,,0, ,, , , ,0,0,Grass,0, ,0,0, ,0,0,, ,0,0, ,0,0,Grass,0, ,0,0,55,0,,0, ,0.000000000000000,AC_AC,18,1,2, ,0, ,0, , ,0,, ,0,0,5066.799146909999763,46385,46385,9,131.805004634999989,0.262559669123000
