FID,FID_Divisi,Division,MaintCntyC,LocCntyCod,RouteClass,RouteNumbe,RouteQuali,RouteInven,Direction,TravelDire,RouteMaint,RouteName,StreetName,SrcDocType,SrcDocID,GeoDocType,GeoDocID,RouteID,MPLength,LaneMiles,BeginMp1,EndMp1,BeginFeatu,EndFeature,RouteID2,BeginMp2,EndMp2,RouteID3,BeginMp3,EndMp3,RouteID4,BeginMp4,EndMp4,RouteID5,BeginMp5,EndMp5,RouteID6,BeginMp6,EndMp6,AADT,AadtDate,AADTTruck,AadttMulti,AadttSingl,AccessCont,AddDate,AddDocID,AddDocType,BarePvmtRo,BaseDetail,BaseThickn,DesignSpd,FcltyType,FuncClass,FuncClassD,HOVLnCount,HOVType,ImprvDate,ImprvDocID,ImprvDocTy,ImprvType,LaneWidth,LftPvdShld,LftShldrTy,LftShldrWi,LftTrnLnTy,LftTrnLnWi,MaintOps,MedianType,MedianWidt,NHS,NHSDate,OwnerName,OwnerType,PeakLanes,PostedRout,ROW,RtPvdShldr,RtShldrTyp,RtShldrWid,RtTrnLnTyp,RtTrnLnWid,SampleID,SpeedLimit,MilitaryBa,STRAHNETDa,STRAHNETTy,SrfcDetail,SrfcThickn,SrfcType,SrfcWidth,TerrainTyp,ThruLaneCo,TollCharge,TollID,TollType,MunPopGrou,TownCode,TownName,TrkRoute,TrkRouteDa,UrbanType,UrbanID,UrbanPop,Shape_Leng,FID_NC_N_s,Id,gridcode,Shape_Le_1,Shape_Area
22,466,1,015,015,4,1102,0,0,BD,Both,System,SR-1102,Thomas Point Rd,N, ,N, ,40001102015,0.900000000000000,1.800000000000000,0.000000000000000,0.900000000000000,40001101015,DEAD-END, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, , , , , , ,12/31/1930 0:00:00, , , , ,0.000000000000000,0, ,7,,0, ,12/31/1991 0:00:00, , ,RS,0,0,Grass,5, ,0,0, ,0,0,, ,0,0, ,60,0,Grass,5, ,0,0,55,0,,0, ,0.000000000000000,Bitum,20,1,2, ,0, ,0, , ,0,, ,0,0,4754.439957360000335,26885,26885,17,97.239952526300002,0.199986050541000
23,608,1,070,070,4,1107,0,0,BD,Both,System,SR-1107,Frog Island Rd,N, ,A,2012,40001107070,1.388000000000000,2.776000000000000,0.000000000000000,1.388000000000000,30000344070,40001209070, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000,100,2020,0,0,0, ,12/31/1930 0:00:00, , , , ,0.000000000000000,0, ,7,,0, ,12/31/1997 0:00:00, , ,IP,0,0,Grass,0, ,0,0, ,0,0,, ,0,0, ,0,0,Grass,0, ,0,0,55,0,,0, ,0.000000000000000,Bitum,18,1,2, ,0, ,0, , ,0,, ,0,0,7327.817976180000187,26885,26885,17,97.239952526300002,0.199986050541000
24,609,1,021,021,4,1110,0,0,BD,Both,System,SR-1110,Sycamore Rd,N, ,A,2016,40001110021,1.281265000000000,2.562530000000000,0.000000000000000,1.281265000000000,40001108021,DEAD-END, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, , , , , , ,12/31/1950 0:00:00, , , , ,0.000000000000000,0, ,7,,0, ,, , , ,0,0, ,0, ,0,0, ,0,0,, ,0,0, ,60,0, ,0, ,0,0,55,0,,0, ,0.000000000000000,Unpaved,12,1,2, ,0, ,0, , ,0,, ,0,0,6790.181600949999847,26885,26885,17,97.239952526300002,0.199986050541000
25,652,1,070,070,4,1113,0,0,BD,Both,System,SR-1113,Lions Club Rd,N, ,N, ,40001113070,0.098444000000000,0.196888000000000,0.000000000000000,0.098444000000000,30000344070,Pseudo, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000,150,2020,0,0,0, ,12/31/1944 0:00:00, , , , ,0.000000000000000,0, ,7,,0, ,12/31/1989 0:00:00, , ,IP,0,0,Grass,0, ,0,0, ,0,0,, ,0,0, ,0,0,Grass,0, ,0,0,55,0,,0, ,0.000000000000000,Bitum,18,1,2, ,0, ,0, , ,0,, ,0,0,519.679783094999948,26885,26885,17,97.239952526300002,0.199986050541000
26,676,1,027,027,5,98940,0,0,BD,Both,Non-System,NS-98940,Dolphin St, , ,C,2018,50098940027,0.067005000000000,0.067005000000000,0.000000000000000,0.067005000000000,40001285027,DEAD-END, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, , , , , , ,, , , , ,0.000000000000000,0, ,7,,0, ,, , , ,0,0, ,0, ,0,0, ,0,0,, ,0,0, ,0,0, ,0, ,0,0,0,0,,0, ,0.000000000000000, ,0,1,0, ,0, ,0, , ,0,, ,0,0,353.760410159000003,26885,26885,17,97.239952526300002,0.199986050541000
27,752,1,021,021,4,1100,0,0,BD,Both,System,SR-1100,Drummond's Point Rd,N, ,A,2016,40001100021,0.997837000000000,1.995674000000000,0.000000000000000,0.997837000000000,40001102021,Pseudo, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, , , , , , ,12/31/1930 0:00:00, , , , ,0.000000000000000,0, ,7,,0, ,12/31/1991 0:00:00, , ,RS,0,0,Grass,6, ,0,0, ,0,0,, ,0,0, ,60,0,Grass,6, ,0,0,55,0,,0, ,0.000000000000000,Bitum,20,1,2, ,0, ,0, , ,0,, ,0,0,5269.305555769999955,26885,26885,17,97.239952526300002,0.199986050541000
28,807,1,070,070,4,1101,0,0,BD,Both,System,SR-1101,Salem Church Rd,N, ,A,2012,40001101070,0.238000000000000,0.476000000000000,0.000000000000000,0.238000000000000,30000344070,40001100070, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000,1700,2020,0,0,0, ,12/31/1930 0:00:00, , , , ,0.000000000000000,0, ,6,,0, ,12/31/1988 0:00:00, , ,RS,0,0,Grass,6, ,0,0, ,0,0,, ,0,0, ,100,0,Grass,6, ,0,0,45,0,,0, ,0.000000000000000,Bitum,20,1,2, ,0, ,0, , ,0,, ,0,0,1255.510851020000018,26885,26885,17,97.239952526300002,0.199986050541000
29,1014,1,027,027,5,98962,0,0,BD,Both,Non-System,NS-98962,Hammock View Ct, , ,A,2016,50098962027,0.198647000000000,0.198647000000000,0.000000000000000,0.198647000000000,50099508027,DEAD-END, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, , , , , , ,, , , , ,0.000000000000000,0, ,7,,0, ,, , , ,0,0, ,0, ,0,0, ,0,0,, ,0,0, ,0,0, ,0, ,0,0,0,0,,0, ,0.000000000000000, ,0,1,0, ,0, ,0, , ,0,, ,0,0,1048.848816610000085,26885,26885,17,97.239952526300002,0.199986050541000
30,1016,1,027,027,5,98966,0,0,BD,Both,Non-System,NS-98966,Carova Rd, , ,A,2016,50098966027,0.073486000000000,0.073486000000000,0.000000000000000,0.073486000000000,50099546027,DEAD-END, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, , , , , , ,, , , , ,0.000000000000000,0, ,7,,0, ,, , , ,0,0, ,0, ,0,0, ,0,0,, ,0,0, ,0,0, ,0, ,0,0,0,0,,0, ,0.000000000000000, ,0,1,0, ,0, ,0, , ,0,, ,0,0,387.985854819999986,26885,26885,17,97.239952526300002,0.199986050541000
31,1261,1,027,027,5,98970,0,0,BD,Both,Non-System,NS-98970,Swains Ln, , ,A,2016,50098970027,0.377469000000000,0.754938000000000,0.000000000000000,0.377469000000000,60098969027,DEAD-END, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, , , , , , ,, , , , ,0.000000000000000,0, ,7,,0, ,, , , ,0,0, ,0, ,0,0, ,0,0,, ,98,0, ,0,0, ,0, ,0,0,0,0,,0, ,0.000000000000000,Unpaved,0,1,2, ,0, ,0, , ,0,, ,0,0,1993.011494520000042,26885,26885,17,97.239952526300002,0.199986050541000
