FID,FID_Divisi,Division,MaintCntyC,LocCntyCod,RouteClass,RouteNumbe,RouteQuali,RouteInven,Direction,TravelDire,RouteMaint,RouteName,StreetName,SrcDocType,SrcDocID,GeoDocType,GeoDocID,RouteID,MPLength,LaneMiles,BeginMp1,EndMp1,BeginFeatu,EndFeature,RouteID2,BeginMp2,EndMp2,RouteID3,BeginMp3,EndMp3,RouteID4,BeginMp4,EndMp4,RouteID5,BeginMp5,EndMp5,RouteID6,BeginMp6,EndMp6,AADT,AadtDate,AADTTruck,AadttMulti,AadttSingl,AccessCont,AddDate,AddDocID,AddDocType,BarePvmtRo,BaseDetail,BaseThickn,DesignSpd,FcltyType,FuncClass,FuncClassD,HOVLnCount,HOVType,ImprvDate,ImprvDocID,ImprvDocTy,ImprvType,LaneWidth,LftPvdShld,LftShldrTy,LftShldrWi,LftTrnLnTy,LftTrnLnWi,MaintOps,MedianType,MedianWidt,NHS,NHSDate,OwnerName,OwnerType,PeakLanes,PostedRout,ROW,RtPvdShldr,RtShldrTyp,RtShldrWid,RtTrnLnTyp,RtTrnLnWid,SampleID,SpeedLimit,MilitaryBa,STRAHNETDa,STRAHNETTy,SrfcDetail,SrfcThickn,SrfcType,SrfcWidth,TerrainTyp,ThruLaneCo,TollCharge,TollID,TollType,MunPopGrou,TownCode,TownName,TrkRoute,TrkRouteDa,UrbanType,UrbanID,UrbanPop,Shape_Leng,FID_NC_S1_,Id,gridcode,Shape_Le_1,Shape_Area
20,615,3,010,010,3,906,0,0,BD,Both,System,NC-906,S. Middleton Ave,O,HTO_010_01-16,A,2008,30000906010,0.040693000000000,0.081386000000000,0.000000000000000,0.040693000000000,40001104010,50093707010, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000,3500,2020,0,0,0, ,12/31/1952 0:00:00, , ,Y, ,0.000000000000000,40, ,5,,0, ,11/13/2010 0:00:00,R-2245,TIP,NR,0,4,Bitum,8, ,0,0, ,0,0,, ,0,0, ,100,4,Bitum,8, ,0,0,35,0,,0, ,3.000000000000000,Bitum,32,1,2, ,0, ,4,0354,Oak Island,0,,Urban Cluster,64459,3,214.856900720999988,2814,2814,402,66.865110026599993,0.155582725578000
21,716,3,071,071,5,98939,0,0,BD,Both,Non-System,NS-98939,N Topsail Dr, , , , ,50098939071,0.139486000000000,0.278972000000000,0.000000000000000,0.139486000000000,30000050071,50099043071, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, , , , , , ,, , , , ,0.000000000000000,0, ,7,,0, ,, , , ,0,0, ,0, ,0,0, ,0,0,, ,4,0, ,0,0, ,0, ,0,0,0,0,,0, ,0.000000000000000,Bitum,0,1,2, ,0, ,3,0334,Surf City,0,, ,0,0,736.481174979000002,2814,2814,402,66.865110026599993,0.155582725578000
22,721,3,065,065,5,98945,0,0,BD,Both,Non-System,NS-98945,Carolina Sands Dr, , , , ,50098945065,0.086976000000000,0.173952000000000,0.000000000000000,0.086976000000000,20000421065,50093917065, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, , , , , , ,, , , , ,0.000000000000000,0, ,7,,0, ,, , , ,0,0, ,0, ,0,0, ,0,0,, ,4,0, ,0,0, ,0, ,0,0,0,0,,0, ,0.000000000000000,Bitum,0,1,2, ,0, ,4,0308,Carolina Beach,0,,Urbanized Area,95833,7,459.229411543000026,2814,2814,402,66.865110026599993,0.155582725578000
23,735,3,071,071,5,98951,0,0,BD,Both,Non-System,NS-98951,N Harbor Dr, , , , ,50098951071,0.067985000000000,0.135970000000000,0.000000000000000,0.067985000000000,50098579071,50098580071, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, , , , , , ,, , , , ,0.000000000000000,0, ,7,,0, ,, , , ,0,0, ,0, ,0,0, ,0,0,, ,4,0, ,0,0, ,0, ,0,0,0,0,,0, ,0.000000000000000,Bitum,0,1,2, ,0, ,3,0334,Surf City,0,, ,0,0,358.949930413000004,2814,2814,402,66.865110026599993,0.155582725578000
24,786,3,071,071,5,98968,0,0,BD,Both,Non-System,NS-98968,Michigan Av, , , , ,50098968071,0.024872000000000,0.049744000000000,0.000000000000000,0.024872000000000,40001608071,50099287071, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, , , , , , ,, , , , ,0.000000000000000,0, ,7,,0, ,, , , ,0,0, ,0, ,0,0, ,0,0,, ,98,0, ,0,0, ,0, ,0,0,0,0,,0, ,0.000000000000000,Unpaved,0,1,2, ,0, ,0, , ,0,, ,0,0,131.317726743000009,2814,2814,402,66.865110026599993,0.155582725578000
25,832,3,071,071,5,98945,0,0,BD,Both,Non-System,NS-98945,N Shore Dr, , , , ,50098945071,0.052074000000000,0.104148000000000,0.000000000000000,0.052074000000000,DEAD-END,50098972071, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, , , , , , ,, , , , ,0.000000000000000,0, ,7,,0, ,, , , ,0,0, ,0, ,0,0, ,0,0,, ,4,0, ,0,0, ,0, ,0,0,0,0,,0, ,0.000000000000000,Bitum,0,1,2, ,0, ,3,0334,Surf City,0,, ,0,0,274.951454918000024,2814,2814,402,66.865110026599993,0.155582725578000
26,841,3,071,071,5,98940,0,0,BD,Both,Non-System,NS-98940,N Topsail Dr, , , , ,50098940071,0.064081000000000,0.128162000000000,0.000000000000000,0.064081000000000,DEAD-END,50098972071, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, , , , , , ,, , , , ,0.000000000000000,0, ,7,,0, ,, , , ,0,0, ,0, ,0,0, ,0,0,, ,4,0, ,0,0, ,0, ,0,0,0,0,,0, ,0.000000000000000,Bitum,0,1,2, ,0, ,3,0334,Surf City,0,, ,0,0,338.346564660000013,2814,2814,402,66.865110026599993,0.155582725578000
27,847,3,071,071,5,98944,0,0,BD,Both,Non-System,NS-98944,N Shore Dr, , , , ,50098944071,0.137759000000000,0.275518000000000,0.000000000000000,0.137759000000000,50098370071,50099043071, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, , , , , , ,, , , , ,0.000000000000000,0, ,7,,0, ,, , , ,0,0, ,0, ,0,0, ,0,0,, ,4,0, ,0,0, ,0, ,0,0,0,0,,0, ,0.000000000000000,Bitum,0,1,2, ,0, ,3,0334,Surf City,0,, ,0,0,727.366175836000025,2814,2814,402,66.865110026599993,0.155582725578000
28,855,3,065,065,5,98952,0,0,BD,Both,Non-System,NS-98952,Carl Winner Ave, , , , ,50098952065,0.062507000000000,0.187521000000000,0.000000000000000,0.062507000000000,50098965065,50098414065, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, , , , , , ,, , , , ,0.000000000000000,0, ,7,,0, ,, , , ,0,0, ,0, ,0,0, ,0,0,, ,4,0, ,0,0, ,0, ,0,0,0,0,,0, ,0.000000000000000,Bitum,0,1,3, ,0, ,4,0308,Carolina Beach,0,,Urbanized Area,95833,7,330.028180540999983,2814,2814,402,66.865110026599993,0.155582725578000
29,859,3,065,065,5,98955,0,0,BD,Both,Non-System,NS-98955,Captains Ct, , , , ,50098955065,0.039888000000000,0.039888000000000,0.000000000000000,0.039888000000000,50098771065,50094323065, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, , , , , , ,, , , , ,0.000000000000000,0, ,7,,0, ,, , , ,0,0, ,0, ,0,0, ,0,0,, ,4,0, ,0,0, ,0, ,0,0,0,0,,0, ,0.000000000000000, ,0,1,0, ,0, ,2,0333,Wrightsville Beach,0,,Urbanized Area,95833,7,210.603236874999993,2814,2814,402,66.865110026599993,0.155582725578000
30,870,3,010,010,5,98952,0,0,OI,One-way,Non-System,NS-98952,Barbee Blvd, , ,A,2016,50098952010,0.012203000000000,0.024406000000000,0.000000000000000,0.012203000000000,DEAD-END,Pseudo, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, , , , , , ,, , , , ,0.000000000000000,0, ,7,,0, ,, , , ,0,0, ,0, ,0,0, ,0,0,, ,4,0, ,0,0, ,0, ,0,0,0,0,,0, ,0.000000000000000,Bitum,0,1,2, ,0, ,4,0354,Oak Island,0,, ,0,0,66.514525797999994,2814,2814,402,66.865110026599993,0.155582725578000
