FID,FID_Divisi,Division,MaintCntyC,LocCntyCod,RouteClass,RouteNumbe,RouteQuali,RouteInven,Direction,TravelDire,RouteMaint,RouteName,StreetName,SrcDocType,SrcDocID,GeoDocType,GeoDocID,RouteID,MPLength,LaneMiles,BeginMp1,EndMp1,BeginFeatu,EndFeature,RouteID2,BeginMp2,EndMp2,RouteID3,BeginMp3,EndMp3,RouteID4,BeginMp4,EndMp4,RouteID5,BeginMp5,EndMp5,RouteID6,BeginMp6,EndMp6,AADT,AadtDate,AADTTruck,AadttMulti,AadttSingl,AccessCont,AddDate,AddDocID,AddDocType,BarePvmtRo,BaseDetail,BaseThickn,DesignSpd,FcltyType,FuncClass,FuncClassD,HOVLnCount,HOVType,ImprvDate,ImprvDocID,ImprvDocTy,ImprvType,LaneWidth,LftPvdShld,LftShldrTy,LftShldrWi,LftTrnLnTy,LftTrnLnWi,MaintOps,MedianType,MedianWidt,NHS,NHSDate,OwnerName,OwnerType,PeakLanes,PostedRout,ROW,RtPvdShldr,RtShldrTyp,RtShldrWid,RtTrnLnTyp,RtTrnLnWid,SampleID,SpeedLimit,MilitaryBa,STRAHNETDa,STRAHNETTy,SrfcDetail,SrfcThickn,SrfcType,SrfcWidth,TerrainTyp,ThruLaneCo,TollCharge,TollID,TollType,MunPopGrou,TownCode,TownName,TrkRoute,TrkRouteDa,UrbanType,UrbanID,UrbanPop,Shape_Leng,FID_NC_M2_,Id,gridcode,Shape_Le_1,Shape_Area
1985,132208,1,028,028,2,64,0,0,BD,Both,System,US-64,US 64 264 Hwy,N, ,N, ,20000064028,0.120000000000000,0.240000000000000,15.787801000000000,15.907800999999999,40001108028,40001162028, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000,1800,2020,173,33,140, ,12/31/1901 0:00:00, , ,Y, ,0.000000000000000,70, ,4,,0, ,12/31/1974 0:00:00, , ,RS,0,0,Grass,4,Single,12,0, ,0,0,, ,0,0, ,60,0,Grass,4, ,0,0,35,0,,0, ,0.000000000000000,Bitum,24,1,2, ,0, ,0, , ,0,,Urban Cluster,54199,3,631.323231446000023,30886,30886,1,189.529020027000001,0.692616464252000
1986,132256,1,048,048,3,94,0,0,BD,Both,System,NC-94,NC 94 Hwy,N, ,N, ,30000094048,0.062000000000000,0.124000000000000,15.188000000000001,15.250000000000000,Pseudo,40001309048, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000,1100,2020,199,89,110, ,12/31/1901 0:00:00, , ,Y, ,0.000000000000000,0, ,5,,0, ,, , , ,0,0, ,0, ,0,0, ,0,0,, ,0,0, ,0,0, ,0, ,0,0,45,0,,0, ,0.000000000000000,Bitum,24,1,2, ,0, ,0, , ,0,, ,0,0,325.247701953999979,30886,30886,1,189.529020027000001,0.692616464252000
1987,132281,1,048,048,3,94,0,0,BD,Both,System,NC-94,NC 94 Hwy,N, ,N, ,30000094048,0.079091000000000,0.158182000000000,15.088939000000000,15.168030000000000,Pseudo,Pseudo, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000,800,2020,135,62,73, ,12/31/1901 0:00:00, , ,Y, ,0.000000000000000,0, ,5,,0, ,, , , ,0,0, ,0, ,0,0, ,0,0,, ,0,0, ,0,0, ,0, ,0,0,45,0,,0, ,0.000000000000000,Bitum,32,1,2, ,0, ,0, , ,0,, ,0,0,414.906829602000016,30886,30886,1,189.529020027000001,0.692616464252000
1988,132328,1,048,048,3,94,0,0,BD,Both,System,NC-94,NC 94 Hwy,N, ,N, ,30000094048,0.160000000000000,0.320000000000000,15.850000000000000,16.010000000000002,Pseudo,40001309048, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000,600,2020,101,46,55, ,12/31/1901 0:00:00, , ,Y, ,0.000000000000000,0, ,5,,0, ,, , , ,0,0, ,0, ,0,0, ,0,0,, ,0,0, ,0,0, ,0, ,0,0,55,0,,0, ,0.000000000000000,Bitum,24,1,2, ,0, ,0, , ,0,, ,0,0,828.156639534999954,30886,30886,1,189.529020027000001,0.692616464252000
1989,132411,1,028,028,2,64,0,0,BD,Both,System,US-64,US 64 264 Hwy,N, ,N, ,20000064028,0.020000000000000,0.040000000000000,15.767801000000000,15.787801000000000,40001107028,40001108028, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000,1800,2020,173,33,140, ,12/31/1901 0:00:00, , ,Y, ,0.000000000000000,70, ,4,,0, ,12/31/1974 0:00:00, , ,RS,0,0,Grass,4,Single,12,0, ,0,0,, ,0,0, ,60,0,Grass,4, ,0,0,35,0,,0, ,0.000000000000000,Bitum,24,1,2, ,0, ,0, , ,0,,Urban Cluster,54199,3,91.433307750200001,30886,30886,1,189.529020027000001,0.692616464252000
1990,132591,1,048,048,3,94,0,0,BD,Both,System,NC-94,NC 94 Hwy,N, ,N, ,30000094048,0.260000000000000,0.520000000000000,15.250000000000000,15.510000000000000,40001309048,40001305048, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000,1100,2020,199,89,110, ,12/31/1901 0:00:00, , ,Y, ,0.000000000000000,0, ,5,,0, ,, , , ,0,0, ,0, ,0,0, ,0,0,, ,0,0, ,0,0, ,0, ,0,0,45,0,,0, ,0.000000000000000,Bitum,24,1,2, ,0, ,0, , ,0,, ,0,0,1396.966249600000083,30886,30886,1,189.529020027000001,0.692616464252000
1991,132606,1,028,028,3,12,0,0,BD,Both,System,NC-12,NC 12 Hwy,T,R-4070A, , ,30000012028,0.053299000000000,0.106598000000000,16.505161999999999,16.558461000000001,50098630028,50099639028, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000,7000,2020,710,180,530, ,12/31/1980 0:00:00, , ,Y, ,0.000000000000000,65, ,5,,0, ,12/31/2002 0:00:00, , ,MI,0,0,Grass,4, ,0,0, ,0,9,, ,0,0, ,60,0,Grass,4, ,0,0,45,0,,0, ,0.000000000000000,Bitum,32,1,2, ,0, ,0, , ,0,, ,0,0,281.215986616000009,30886,30886,1,189.529020027000001,0.692616464252000
1992,132638,1,028,028,3,12,0,0,BD,Both,System,NC-12,NC 12 Hwy,N, , , ,30000012028,0.320484000000000,0.640968000000000,15.358287000000001,15.678770999999999,50098489028,Pseudo, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000,8500,2020,661,91,570, ,12/31/1901 0:00:00, , ,Y, ,0.000000000000000,65, ,5,,0, ,12/31/1997 0:00:00, , ,MI,0,0,Grass,6, ,0,0, ,0,9,, ,0,0, ,60,0,Grass,6, ,0,0,55,0,,0, ,0.000000000000000,Bitum,32,1,2, ,0, ,0, , ,0,, ,0,0,1692.639821989999973,30886,30886,1,189.529020027000001,0.692616464252000
1993,132691,1,028,028,2,158,0,6,WB,One-way,System,US-158,Wright Memorial Bridge,N, ,A,2012,20600158028,1.277530000000000,2.555060000000000,16.792352999999999,18.069883000000001,Pseudo,BC000027, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, , , , , , ,12/31/1995 0:00:00, , ,Y, ,0.000000000000000,0, ,4,,0, ,12/31/1995 0:00:00, , ,NL,0,2,Bitum,0, ,0,0, ,0,1,, ,0,0, ,180,2,Bitum,10, ,0,0,55,0,,0, ,0.000000000000000,Bitum,36,1,2, ,0, ,0, , ,0,,Urban Cluster,44965,3,6744.067950749999909,30886,30886,1,189.529020027000001,0.692616464252000
1994,132867,1,028,028,2,64,0,0,BD,Both,System,US-64,US 64 264 Hwy,N, ,N, ,20000064028,0.060000000000000,0.120000000000000,15.907800999999999,15.967801000000000,40001162028,40001110028, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000,1800,2020,173,33,140, ,12/31/1901 0:00:00, , ,Y, ,0.000000000000000,70, ,4,,0, ,12/31/1974 0:00:00, , ,RS,0,0,Grass,4,Single,12,0, ,0,0,, ,0,0, ,60,0,Grass,4, ,0,0,35,0,,0, ,0.000000000000000,Bitum,24,1,2, ,0, ,0, , ,0,,Urban Cluster,54199,3,324.706196870999975,30886,30886,1,189.529020027000001,0.692616464252000
